 c =    0.10000000000000E+03   0.10000000000000E+02; m =     0
      0
      5
    0.00000000000000   0.00000000000000  0.00000000000000      0   4.52310754747133  0.34701878335821      1  15, 13
    0.10000000000000  -1.61087831837700 -2.29017376744489     -1  -4.49099485004520 -0.26189317177317      1  13, 13
    0.20000000000000  -1.03123613493284  4.19278717337192     -1   4.29986228112932  0.39446706235470      1  13, 13
    0.30000000000000   1.67753745202427 -0.15060367000472      0  -1.33520685733725 -0.59437340885766      1  13, 13
    0.40000000000000   2.36159822341667 -1.34370743305510     -1  -7.15099553432534  2.62257266239547      0  12, 12
    0.50000000000000   3.68757071386511 -6.27165735830437     -3  -2.01958039364550  2.59024389337113     -1  11, 11
    0.60000000000000  -0.45605306016568 -3.31281683993955     -5   0.03861363452506  2.13401620896800     -3   9,  9
    0.70000000000000  -1.64113256490274 -1.05369390303993     -8   1.31925968500605  1.07506497454798     -6   5,  6
    0.80000000000000  -5.78343776498841  3.73727528507700    -13   7.50308544028585 -3.75479783821252    -11   1,  1
    0.90000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    1.00000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
      6
    0.00000000000000  -1.31229792514886 -0.03445168035133      0   0.00000000000000  0.00000000000000      0  13, 15
    0.10000000000000   1.25612859797178 -0.05724740736767      0  -1.73397465422569 -0.88736319683166      1  13, 13
    0.20000000000000  -1.30761318768751  0.18650885620966      0   2.17264178435712  1.33666121086553      1  13, 13
    0.30000000000000   1.85479188067698  0.09321126714334      0   0.34480562528957 -1.09404142211349      1  13, 13
    0.40000000000000   4.82451422882581 -2.27392885936378     -1  -1.25037249867763  0.30391906076977      1  13, 13
    0.50000000000000   1.11850511620547 -1.64970453502023     -2  -5.67058659980458  6.24806172785627     -1  11, 11
    0.60000000000000  -0.09188330839307 -1.18188867163881     -4  -0.33699107334647  7.28000840692625     -3   9,  9
    0.70000000000000  -7.01359419223962 -5.08488598716978     -8   5.42702087473029  4.98956900751767     -6   6,  6
    0.80000000000000  -3.30004140815149  1.88468502290680    -12   4.17557118681520 -1.80010314707782    -10   2,  2
    0.90000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    1.00000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
      7
    0.00000000000000   0.00000000000000  0.00000000000000      0  -4.85269287023646 -0.37584082870790      1  15, 13
    0.10000000000000   8.05694453781251  2.15951116892581     -1   3.92078384911824 -0.26286991430918      1  13, 13
    0.20000000000000  -1.29078779010309 -0.26293112968569      0  -2.46057461985967  1.22446135244253      1  13, 13
    0.30000000000000   1.41136036985785  0.44371461512537      0   2.90884668764114 -1.06510757332156      1  13, 13
    0.40000000000000   8.57257884549159 -3.15306225739374     -1  -1.80055177846992  0.15601359981464      1  13, 13
    0.50000000000000   3.02563180173127 -3.86368951759110     -2  -1.41115573666008  1.31967992181152      0  12, 12
    0.60000000000000  -0.06113401281467 -3.81848748720581     -4  -0.25595751646291  2.24080510358173     -2  10, 10
    0.70000000000000  -2.72250047852006 -2.22598449196059     -7   2.02074877447520  2.10126452215748     -5   7,  7
    0.80000000000000  -1.72106796853048  0.85898099603642    -11   2.12341881962182 -0.77190793105677     -9   2,  3
